,ds,y
0,2010-01-01,160
1,2010-01-02,105
2,2010-01-03,85
3,2010-01-04,141
4,2010-01-05,142
5,2010-01-06,225
6,2010-01-07,213
7,2010-01-08,184
8,2010-01-09,137
9,2010-01-10,101
10,2010-01-11,143
11,2010-01-12,193
12,2010-01-13,180
13,2010-01-14,188
14,2010-01-15,157
15,2010-01-16,159
16,2010-01-17,121
17,2010-01-18,85
18,2010-01-19,159
19,2010-01-20,158
20,2010-01-21,129
21,2010-01-22,116
22,2010-01-23,122
23,2010-01-24,108
24,2010-01-25,139
25,2010-01-26,147
26,2010-01-27,163
27,2010-01-28,197
28,2010-01-29,140
29,2010-01-30,112
30,2010-01-31,108
31,2010-02-01,118
32,2010-02-02,167
33,2010-02-03,192
34,2010-02-04,211
35,2010-02-05,101
36,2010-02-06,115
37,2010-02-07,102
38,2010-02-08,109
39,2010-02-09,139
40,2010-02-10,183
41,2010-02-11,173
42,2010-02-12,162
43,2010-02-13,100
44,2010-02-14,82
45,2010-02-15,96
46,2010-02-16,156
47,2010-02-17,191
48,2010-02-18,188
49,2010-02-19,144
50,2010-02-20,130
51,2010-02-21,100
52,2010-02-22,129
53,2010-02-23,186
54,2010-02-24,182
55,2010-02-25,173
56,2010-02-26,149
57,2010-02-27,117
58,2010-02-28,105
59,2010-03-01,141
60,2010-03-02,180
61,2010-03-03,210
62,2010-03-04,173
63,2010-03-05,145
64,2010-03-06,117
65,2010-03-07,145
66,2010-03-08,142
67,2010-03-09,181
68,2010-03-10,168
69,2010-03-11,162
70,2010-03-12,173
71,2010-03-13,124
72,2010-03-14,102
73,2010-03-15,127
74,2010-03-16,179
75,2010-03-17,213
76,2010-03-18,176
77,2010-03-19,147
78,2010-03-20,104
79,2010-03-21,116
80,2010-03-22,112
81,2010-03-23,175
82,2010-03-24,189
83,2010-03-25,169
84,2010-03-26,133
85,2010-03-27,127
86,2010-03-28,96
87,2010-03-29,132
88,2010-03-30,174
89,2010-03-31,170
90,2010-04-01,159
91,2010-04-02,148
92,2010-04-03,131
93,2010-04-04,78
94,2010-04-05,121
95,2010-04-06,171
96,2010-04-07,183
97,2010-04-08,201
98,2010-04-09,144
99,2010-04-10,113
100,2010-04-11,114
101,2010-04-12,114
102,2010-04-13,151
103,2010-04-14,171
104,2010-04-15,132
105,2010-04-16,104
106,2010-04-17,134
107,2010-04-18,108
108,2010-04-19,98
109,2010-04-20,144
110,2010-04-21,178
111,2010-04-22,157
112,2010-04-23,142
113,2010-04-24,125
114,2010-04-25,89
115,2010-04-26,119
116,2010-04-27,145
117,2010-04-28,196
118,2010-04-29,174
119,2010-04-30,138
120,2010-05-01,150
121,2010-05-02,98
122,2010-05-03,113
123,2010-05-04,154
124,2010-05-05,209
125,2010-05-06,189
126,2010-05-07,165
127,2010-05-08,108
128,2010-05-09,102
129,2010-05-10,129
130,2010-05-11,204
131,2010-05-12,186
132,2010-05-13,174
133,2010-05-14,146
134,2010-05-15,121
135,2010-05-16,104
136,2010-05-17,123
137,2010-05-18,162
138,2010-05-19,173
139,2010-05-20,180
140,2010-05-21,141
141,2010-05-22,112
142,2010-05-23,98
143,2010-05-24,134
144,2010-05-25,183
145,2010-05-26,160
146,2010-05-27,203
147,2010-05-28,129
148,2010-05-29,118
149,2010-05-30,113
150,2010-05-31,110
151,2010-06-01,156
152,2010-06-02,183
153,2010-06-03,164
154,2010-06-04,130
155,2010-06-05,107
156,2010-06-06,93
157,2010-06-07,123
158,2010-06-08,134
159,2010-06-09,173
160,2010-06-10,182
161,2010-06-11,120
162,2010-06-12,98
163,2010-06-13,115
164,2010-06-14,150
165,2010-06-15,194
166,2010-06-16,202
167,2010-06-17,149
168,2010-06-18,147
169,2010-06-19,88
170,2010-06-20,90
171,2010-06-21,135
172,2010-06-22,174
173,2010-06-23,151
174,2010-06-24,158
175,2010-06-25,153
176,2010-06-26,154
177,2010-06-27,131
178,2010-06-28,103
179,2010-06-29,146
180,2010-06-30,153
181,2010-07-01,145
182,2010-07-02,145
183,2010-07-03,97
184,2010-07-04,97
185,2010-07-05,116
186,2010-07-06,166
187,2010-07-07,179
188,2010-07-08,163
189,2010-07-09,153
190,2010-07-10,109
191,2010-07-11,97
192,2010-07-12,112
193,2010-07-13,157
194,2010-07-14,167
195,2010-07-15,180
196,2010-07-16,124
197,2010-07-17,125
198,2010-07-18,125
199,2010-07-19,132
200,2010-07-20,184
201,2010-07-21,223
202,2010-07-22,156
203,2010-07-23,136
204,2010-07-24,134
205,2010-07-25,119
206,2010-07-26,107
207,2010-07-27,180
208,2010-07-28,179
209,2010-07-29,160
210,2010-07-30,155
211,2010-07-31,133
212,2010-08-01,118
213,2010-08-02,116
214,2010-08-03,174
215,2010-08-04,193
216,2010-08-05,143
217,2010-08-06,144
218,2010-08-07,132
219,2010-08-08,105
220,2010-08-09,146
221,2010-08-10,178
222,2010-08-11,180
223,2010-08-12,174
224,2010-08-13,141
225,2010-08-14,112
226,2010-08-15,117
227,2010-08-16,110
228,2010-08-17,150
229,2010-08-18,166
230,2010-08-19,151
231,2010-08-20,174
232,2010-08-21,150
233,2010-08-22,99
234,2010-08-23,91
235,2010-08-24,158
236,2010-08-25,148
237,2010-08-26,170
238,2010-08-27,146
239,2010-08-28,120
240,2010-08-29,107
241,2010-08-30,98
242,2010-08-31,144
243,2010-09-01,171
244,2010-09-02,206
245,2010-09-03,166
246,2010-09-04,141
247,2010-09-05,99
248,2010-09-06,100
249,2010-09-07,137
250,2010-09-08,145
251,2010-09-09,140
252,2010-09-10,142
253,2010-09-11,94
254,2010-09-12,84
255,2010-09-13,75
256,2010-09-14,199
257,2010-09-15,184
258,2010-09-16,187
259,2010-09-17,138
260,2010-09-18,118
261,2010-09-19,93
262,2010-09-20,120
263,2010-09-21,153
264,2010-09-22,206
265,2010-09-23,193
266,2010-09-24,153
267,2010-09-25,118
268,2010-09-26,103
269,2010-09-27,113
270,2010-09-28,172
271,2010-09-29,180
272,2010-09-30,187
273,2010-10-01,163
274,2010-10-02,139
275,2010-10-03,102
276,2010-10-04,104
277,2010-10-05,140
278,2010-10-06,161
279,2010-10-07,170
280,2010-10-08,158
281,2010-10-09,137
282,2010-10-10,93
283,2010-10-11,139
284,2010-10-12,137
285,2010-10-13,194
286,2010-10-14,193
287,2010-10-15,176
288,2010-10-16,116
289,2010-10-17,108
290,2010-10-18,125
291,2010-10-19,155
292,2010-10-20,167
293,2010-10-21,150
294,2010-10-22,149
295,2010-10-23,148
296,2010-10-24,53
297,2010-10-25,83
298,2010-10-26,133
299,2010-10-27,179
300,2010-10-28,150
301,2010-10-29,142
302,2010-10-30,124
303,2010-10-31,115
304,2010-11-01,102
305,2010-11-02,149
306,2010-11-03,163
307,2010-11-04,188
308,2010-11-05,163
309,2010-11-06,147
310,2010-11-07,94
311,2010-11-08,107
312,2010-11-09,169
313,2010-11-10,177
314,2010-11-11,174
315,2010-11-12,133
316,2010-11-13,113
317,2010-11-14,124
318,2010-11-15,112
319,2010-11-16,163
320,2010-11-17,166
321,2010-11-18,156
322,2010-11-19,168
323,2010-11-20,110
324,2010-11-21,117
325,2010-11-22,103
326,2010-11-23,134
327,2010-11-24,110
328,2010-11-25,62
329,2010-11-26,89
330,2010-11-27,89
331,2010-11-28,97
332,2010-11-29,122
333,2010-11-30,152
334,2010-12-01,145
335,2010-12-02,145
336,2010-12-03,129
337,2010-12-04,95
338,2010-12-05,79
339,2010-12-06,114
340,2010-12-07,169
341,2010-12-08,177
342,2010-12-09,179
343,2010-12-10,124
344,2010-12-11,104
345,2010-12-12,100
346,2010-12-13,122
347,2010-12-14,141
348,2010-12-15,137
349,2010-12-16,145
350,2010-12-17,118
351,2010-12-18,74
352,2010-12-19,79
353,2010-12-20,71
354,2010-12-21,109
355,2010-12-22,120
